Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Science (Hons),Faculty of Science,0.758,3328,3210,2950,3600,NUS,2014,No,NUS GES 2014,Bachelor of Science (Hons) | NUS 2014,Science
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.967,3670,3630,3470,4000,NUS,2014,No,NUS GES 2014,Bachelor of Science (Pharmacy) (Hons) | NUS 2014,Pharmacy (Hons)
Bachelor of Business Administration,NUS Business School,0.836,3367,3000,2800,3300,NUS,2014,No,NUS GES 2014,Bachelor of Business Administration | NUS 2014,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.906,4090,3520,3200,4300,NUS,2014,No,NUS GES 2014,Bachelor of Business Administration (Hons) | NUS 2014,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.898,2989,2838,2700,3000,NUS,2014,No,NUS GES 2014,Bachelor of Business Administration (Accountancy) | NUS 2014,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.963,3407,2912,2800,3614,NUS,2014,No,NUS GES 2014,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2014,Administration (Accountancy) (Hons)
Bachelor of Computing (Communications & Media),School of Computing,0.821,3129,3088,2900,3300,NUS,2014,No,NUS GES 2014,Bachelor of Computing (Communications & Media) | NUS 2014,Communications & Media
Bachelor of Computing (Computational Biology),School of Computing,0,0,0,0,0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Computing (Computational Biology) | NUS 2014,Computational Biology
Bachelor of Computing (Computer Engineering),School of Computing,0,0,0,0,0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Computing (Computer Engineering) | NUS 2014,Computer Engineering
Bachelor of Computing (Computer Science),School of Computing,0.859,3712,3500,3300,4000,NUS,2014,No,NUS GES 2014,Bachelor of Computing (Computer Science) | NUS 2014,Computer Science
Bachelor of Computing (Electronic Commerce),School of Computing,0.857,3386,3200,3000,3500,NUS,2014,No,NUS GES 2014,Bachelor of Computing (Electronic Commerce) | NUS 2014,Electronic Commerce
Bachelor of Computing (Information Systems),School of Computing,0.92,3789,3500,3100,4039,NUS,2014,No,NUS GES 2014,Bachelor of Computing (Information Systems) | NUS 2014,Information Systems
Bachelor of Arts (Architecture),School of Design & Environment,0.952,4400,4275,4000,4750,NUS,2014,No,NUS GES 2014,Bachelor of Arts (Architecture) | NUS 2014,Architecture
Bachelor of Arts (Industrial Design),School of Design & Environment,0.591,2603,2565,2200,3000,NUS,2014,No,NUS GES 2014,Bachelor of Arts (Industrial Design) | NUS 2014,Industrial Design
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.941,3181,3000,2900,3360,NUS,2014,No,NUS GES 2014,Bachelor of Science (Project & Facilities Management) | NUS 2014,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.892,3108,3000,2750,3300,NUS,2014,No,NUS GES 2014,Bachelor of Science (Real Estate) | NUS 2014,Real Estate
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.956,3188,3200,3050,3386,NUS,2014,No,NUS GES 2014,Bachelor of Science (Nursing) | NUS 2014,Nursing
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,1,3353,3500,3270,3600,NUS,2014,No,NUS GES 2014,Bachelor of Science (Nursing) (Hons) | NUS 2014,Nursing (Hons)
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1,4886,5000,4500,5200,NUS,2014,No,NUS GES 2014,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2014,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0,0,0,0,0,NUS,2014,Suppressed,NUS GES 2014,Bachelor of Music | NUS 2014,Music
Accountancy (4-year programme),School of Accountancy,0.914,3420,2875,2722,3614,SMU,2014,No,SMU GES 2014,Accountancy (4-year programme) | SMU 2014,Accountancy (4-year programme)
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.961,3903,3500,2875,4300,SMU,2014,No,SMU GES 2014,Accountancy (4-year programme) (cum laude & above) | SMU 2014,Accountancy (4-year programme) (cum laude & above)
Business Management (4-year programme),School of Business,0.864,3752,3333,3000,4000,SMU,2014,No,SMU GES 2014,Business Management (4-year programme) | SMU 2014,Business Management (4-year programme)
Business Management (4-year programme) (cum laude & above),School of Business,0.94,4116,3600,3200,4500,SMU,2014,No,SMU GES 2014,Business Management (4-year programme) (cum laude & above) | SMU 2014,Business Management (4-year programme) (cum laude & above)
Economics (4-year programme),School of Economics,0.839,3645,3500,3175,4000,SMU,2014,No,SMU GES 2014,Economics (4-year programme) | SMU 2014,Economics (4-year programme)
Economics (4-year programme) (cum laude & above),School of Economics,0.891,3824,3800,3300,4350,SMU,2014,No,SMU GES 2014,Economics (4-year programme) (cum laude & above) | SMU 2014,Economics (4-year programme) (cum laude & above)
Information Systems Management (4-year programme),School of Information Systems,0.806,3530,3350,3000,4000,SMU,2014,No,SMU GES 2014,Information Systems Management (4-year programme) | SMU 2014,Information Systems Management (4-year programme)
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.842,4151,4050,3500,4540,SMU,2014,No,SMU GES 2014,Information Systems Management (4-year programme) (cum laude & above) | SMU 2014,Information Systems Management (4-year programme) (cum laude & above)
Social Sciences (4-year programme),School of Social Sciences,0.841,3166,3000,2800,3580,SMU,2014,No,SMU GES 2014,Social Sciences (4-year programme) | SMU 2014,Social Sciences (4-year programme)
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.813,3545,3590,3000,3955,SMU,2014,No,SMU GES 2014,Social Sciences (4-year programme) (cum laude & above) | SMU 2014,Social Sciences (4-year programme) (cum laude & above)
Law (4-year programme),School of Law,0.956,5332,5025,4600,5950,SMU,2014,No,SMU GES 2014,Law (4-year programme) | SMU 2014,Law (4-year programme)
Law (4-year programme) (cum laude & above),School of Law,0.977,5571,5800,4800,6000,SMU,2014,No,SMU GES 2014,Law (4-year programme) (cum laude & above) | SMU 2014,Law (4-year programme) (cum laude & above)
Accountancy & Business,Nanyang Business School,0.973,4438,3770,3000,4850,NTU,2015,No,NTU GES 2015,Accountancy & Business | NTU 2015,Accountancy & Business
Accountancy,Nanyang Business School,0.965,3240,2875,2850,3125,NTU,2015,No,NTU GES 2015,Accountancy | NTU 2015,Accountancy
Business,Nanyang Business School,0.876,3502,3200,2900,3700,NTU,2015,No,NTU GES 2015,Business | NTU 2015,Business
Business & Computing,Nanyang Business School,1,4395,4583,3800,4876,NTU,2015,No,NTU GES 2015,Business & Computing | NTU 2015,Business & Computing
Aerospace Engineering,College of Engineering,0.86,3724,3700,3450,4000,NTU,2015,No,NTU GES 2015,Aerospace Engineering | NTU 2015,Aerospace Engineering
Aerospace Engineering & Economics,College of Engineering,0,0,0,0,0,NTU,2015,Suppressed,NTU GES 2015,Aerospace Engineering & Economics | NTU 2015,Aerospace Engineering & Economics
Bioengineering,College of Engineering,0.765,3197,3113,2900,3450,NTU,2015,No,NTU GES 2015,Bioengineering | NTU 2015,Bioengineering
Business & Computer Engineering,College of Engineering,0,0,0,0,0,NTU,2015,Suppressed,NTU GES 2015,Business & Computer Engineering | NTU 2015,Business & Computer Engineering
Chemical & Biomolecular Engineering,College of Engineering,0.809,3373,3300,3000,3600,NTU,2015,No,NTU GES 2015,Chemical & Biomolecular Engineering | NTU 2015,Chemical & Biomolecular Engineering
Chemical & Biomolecular Engineering & Economics,College of Engineering,0,0,0,0,0,NTU,2015,Suppressed,NTU GES 2015,Chemical & Biomolecular Engineering & Economics | NTU 2015,Chemical & Biomolecular Engineering & Economics
Computer Engineering,College of Engineering,0.83,3577,3500,3200,4000,NTU,2015,No,NTU GES 2015,Computer Engineering | NTU 2015,Computer Engineering
Civil Engineering,College of Engineering,0.93,3206,3200,3000,3300,NTU,2015,No,NTU GES 2015,Civil Engineering | NTU 2015,Civil Engineering
Computer Science,College of Engineering,0.914,3535,3300,3150,3800,NTU,2015,No,NTU GES 2015,Computer Science | NTU 2015,Computer Science
Electrical & Electronic Engineering,College of Engineering,0.862,3446,3300,3000,3690,NTU,2015,No,NTU GES 2015,Electrical & Electronic Engineering | NTU 2015,Electrical & Electronic Engineering
Environmental Engineering,College of Engineering,0.821,3673,3300,3000,3835,NTU,2015,No,NTU GES 2015,Environmental Engineering | NTU 2015,Environmental Engineering
Environmental Engineering & Economics,College of Engineering,0,0,0,0,0,NTU,2015,Suppressed,NTU GES 2015,Environmental Engineering & Economics | NTU 2015,Environmental Engineering & Economics
Information Engineering & Media,College of Engineering,0.8,3375,3275,3000,3500,NTU,2015,No,NTU GES 2015,Information Engineering & Media | NTU 2015,Information Engineering & Media
Information Engineering & Media & Economics,College of Engineering,0,0,0,0,0,NTU,2015,Suppressed,NTU GES 2015,Information Engineering & Media & Economics | NTU 2015,Information Engineering & Media & Economics
Materials Engineering,College of Engineering,0.768,3397,3200,3000,3600,NTU,2015,No,NTU GES 2015,Materials Engineering | NTU 2015,Materials Engineering
Mechanical Engineering,College of Engineering,0.807,3388,3250,3000,3600,NTU,2015,No,NTU GES 2015,Mechanical Engineering | NTU 2015,Mechanical Engineering
Mechanical Engineering & Economics,College of Engineering,0,0,0,0,0,NTU,2015,Suppressed,NTU GES 2015,Mechanical Engineering & Economics | NTU 2015,Mechanical Engineering & Economics
Maritime Studies,College of Engineering,0.95,3271,3200,3000,3300,NTU,2015,No,NTU GES 2015,Maritime Studies | NTU 2015,Maritime Studies
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.569,3457,2800,2200,3000,NTU,2015,No,NTU GES 2015,"Art, Design & Media | NTU 2015","Art, Design & Media"
Chinese,"College of Humanities, Arts, & Social Sciences",0.766,3045,3200,2800,3500,NTU,2015,No,NTU GES 2015,Chinese | NTU 2015,Chinese
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.744,3008,3000,2600,3330,NTU,2015,No,NTU GES 2015,Communication Studies | NTU 2015,Communication Studies
Economics,"College of Humanities, Arts, & Social Sciences",0.759,3496,3300,3000,3800,NTU,2015,No,NTU GES 2015,Economics | NTU 2015,Economics
English,"College of Humanities, Arts, & Social Sciences",0.74,3322,3314,2604,3743,NTU,2015,No,NTU GES 2015,English | NTU 2015,English
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.558,3753,3000,2800,3600,NTU,2015,No,NTU GES 2015,Linguistics & Multilingual Studies | NTU 2015,Linguistics & Multilingual Studies
Psychology,"College of Humanities, Arts, & Social Sciences",0.52,3264,3200,2800,3562,NTU,2015,No,NTU GES 2015,Psychology | NTU 2015,Psychology
Sociology,"College of Humanities, Arts, & Social Sciences",0.794,3402,3125,2700,3600,NTU,2015,No,NTU GES 2015,Sociology | NTU 2015,Sociology
Biomedical Sciences & Chinese Medicine,College of Science,1,2882,2800,2500,3105,NTU,2015,No,NTU GES 2015,Biomedical Sciences & Chinese Medicine | NTU 2015,Biomedical Sciences & Chinese Medicine
Biological Sciences,College of Science,0.653,3229,3190,2875,3600,NTU,2015,No,NTU GES 2015,Biological Sciences | NTU 2015,Biological Sciences
Chemistry & Biological Chemistry,College of Science,0.723,3139,3000,2800,3500,NTU,2015,No,NTU GES 2015,Chemistry & Biological Chemistry | NTU 2015,Chemistry & Biological Chemistry
Mathematics & Economics,College of Science,0.844,3440,3205,2925,3500,NTU,2015,No,NTU GES 2015,Mathematics & Economics | NTU 2015,Mathematics & Economics
Mathematical Sciences,College of Science,0.727,3402,3240,2950,3500,NTU,2015,No,NTU GES 2015,Mathematical Sciences | NTU 2015,Mathematical Sciences
Physics & Applied Physics,College of Science,0.696,3186,3200,2900,3400,NTU,2015,No,NTU GES 2015,Physics & Applied Physics | NTU 2015,Physics & Applied Physics
Sports Science & Management,College of Science,0.721,3307,3295,2900,3600,NTU,2015,No,NTU GES 2015,Sports Science & Management | NTU 2015,Sports Science & Management
Science (with Education),National Institute of Education (NIE),1,3604,3504,3500,3855,NTU,2015,No,NTU GES 2015,Science (with Education) | NTU 2015,Science (with Education)
Arts (with Education),National Institute of Education (NIE),1,3622,3500,3500,3605,NTU,2015,No,NTU GES 2015,Arts (with Education) | NTU 2015,Arts (with Education)
Bachelor of Arts,Faculty of Arts & Social Sciences,0.746,2999,3000,2700,3215,NUS,2015,No,NUS GES 2015,Bachelor of Arts | NUS 2015,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.705,3310,3310,3000,3625,NUS,2015,No,NUS GES 2015,Bachelor of Arts (Hons) | NUS 2015,Arts
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.798,3442,3310,3000,3686,NUS,2015,No,NUS GES 2015,Bachelor of Social Sciences | NUS 2015,Social Sciences
Bachelor of Dental Surgery,Faculty of Dentistry,1,4083,4000,4000,4400,NUS,2015,No,NUS GES 2015,Bachelor of Dental Surgery | NUS 2015,Dental Surgery
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.759,3357,3300,3000,3500,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Biomedical Engineering) | NUS 2015,Biomedical Engineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.829,3529,3500,3000,4000,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Chemical Engineering) | NUS 2015,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.953,3366,3350,3200,3500,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Civil Engineering) | NUS 2015,Civil Engineering
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.906,4252,4000,3325,4583,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Computer Engineering) | NUS 2015,Computer Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.904,3589,3300,3000,3700,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Electrical Engineering) | NUS 2015,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.739,3812,3800,3500,4420,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Engineering Science) | NUS 2015,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.857,3337,3450,3000,3670,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Environmental Engineering) | NUS 2015,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.947,3724,3500,3300,4030,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2015,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.95,3391,3350,3050,3790,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Materials Science & Engineering) | NUS 2015,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.8,3422,3300,3000,3600,NUS,2015,No,NUS GES 2015,Bachelor of Engineering (Mechanical Engineering) | NUS 2015,Mechanical Engineering
Bachelor of Laws,Faculty of Law,0.969,4910,4700,4200,5800,NUS,2015,No,NUS GES 2015,Bachelor of Laws | NUS 2015,Laws
Bachelor of Applied Science,Faculty of Science,0,0,0,0,0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Applied Science | NUS 2015,Applied Science
Bachelor of Applied Science (Hons),Faculty of Science,0.778,3355,3100,3000,4000,NUS,2015,No,NUS GES 2015,Bachelor of Applied Science (Hons) | NUS 2015,Applied Science (Hons)
Bachelor of Science,Faculty of Science,0.642,3052,3000,2620,3200,NUS,2015,No,NUS GES 2015,Bachelor of Science | NUS 2015,Science
Bachelor of Science (Computational Biology),Faculty of Science,0,0,0,0,0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Science (Computational Biology) | NUS 2015,Computational Biology
Bachelor of Science (Hons),Faculty of Science,0.762,3321,3300,3000,3600,NUS,2015,No,NUS GES 2015,Bachelor of Science (Hons) | NUS 2015,Science
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.979,3717,3500,3400,3929,NUS,2015,No,NUS GES 2015,Bachelor of Science (Pharmacy) (Hons) | NUS 2015,Pharmacy (Hons)
Bachelor of Business Administration,NUS Business School,0.803,3341,3000,2800,3700,NUS,2015,No,NUS GES 2015,Bachelor of Business Administration | NUS 2015,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.931,4326,3800,3300,4600,NUS,2015,No,NUS GES 2015,Bachelor of Business Administration (Hons) | NUS 2015,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.976,2983,2850,2700,2960,NUS,2015,No,NUS GES 2015,Bachelor of Business Administration (Accountancy) | NUS 2015,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.986,3587,3000,2850,3634,NUS,2015,No,NUS GES 2015,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2015,Administration (Accountancy) (Hons)
Bachelor of Computing (Communications & Media),School of Computing,0.852,3291,3500,2800,3800,NUS,2015,No,NUS GES 2015,Bachelor of Computing (Communications & Media) | NUS 2015,Communications & Media
Bachelor of Computing (Computational Biology),School of Computing,0,0,0,0,0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Computing (Computational Biology) | NUS 2015,Computational Biology
Bachelor of Computing (Computer Engineering),School of Computing,0,0,0,0,0,NUS,2015,Suppressed,NUS GES 2015,Bachelor of Computing (Computer Engineering) | NUS 2015,Computer Engineering
Bachelor of Computing (Computer Science),School of Computing,0.95,3890,3700,3300,4400,NUS,2015,No,NUS GES 2015,Bachelor of Computing (Computer Science) | NUS 2015,Computer Science
Bachelor of Computing (Electronic Commerce),School of Computing,0.871,3301,3300,3000,3500,NUS,2015,No,NUS GES 2015,Bachelor of Computing (Electronic Commerce) | NUS 2015,Electronic Commerce
Bachelor of Computing (Information Systems),School of Computing,0.972,3699,3550,3200,4100,NUS,2015,No,NUS GES 2015,Bachelor of Computing (Information Systems) | NUS 2015,Information Systems
Bachelor of Arts (Architecture),School of Design & Environment,0.964,4099,4127,3700,4500,NUS,2015,No,NUS GES 2015,Bachelor of Arts (Architecture) | NUS 2015,Architecture
Bachelor of Arts (Industrial Design),School of Design & Environment,0.6,2908,3000,2700,3200,NUS,2015,No,NUS GES 2015,Bachelor of Arts (Industrial Design) | NUS 2015,Industrial Design
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.908,3067,3000,2800,3215,NUS,2015,No,NUS GES 2015,Bachelor of Science (Project & Facilities Management) | NUS 2015,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.896,3325,3100,2810,3500,NUS,2015,No,NUS GES 2015,Bachelor of Science (Real Estate) | NUS 2015,Real Estate
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.973,3356,3400,3200,3445,NUS,2015,No,NUS GES 2015,Bachelor of Science (Nursing) | NUS 2015,Nursing
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,1,3466,3435,3300,3700,NUS,2015,No,NUS GES 2015,Bachelor of Science (Nursing) (Hons) | NUS 2015,Nursing (Hons)
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1,4729,4900,4500,5000,NUS,2015,No,NUS GES 2015,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2015,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.412,3344,3300,3000,3600,NUS,2015,No,NUS GES 2015,Bachelor of Music | NUS 2015,Music
Bachelor of Environmental Studies,Multidisciplinary Programme,0.594,3433,3500,3238,3550,NUS,2015,No,NUS GES 2015,Bachelor of Environmental Studies | NUS 2015,Environmental Studies
Accountancy (4-year programme),School of Accountancy,0.93,3427,3000,2850,3500,SMU,2015,No,SMU GES 2015,Accountancy (4-year programme) | SMU 2015,Accountancy (4-year programme)
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.977,3701,3200,2850,4110,SMU,2015,No,SMU GES 2015,Accountancy (4-year programme) (cum laude & above) | SMU 2015,Accountancy (4-year programme) (cum laude & above)
Business Management (4-year programme),School of Business,0.882,3611,3300,3000,4000,SMU,2015,No,SMU GES 2015,Business Management (4-year programme) | SMU 2015,Business Management (4-year programme)
Business Management (4-year programme) (cum laude & above),School of Business,0.933,4130,3868,3200,4600,SMU,2015,No,SMU GES 2015,Business Management (4-year programme) (cum laude & above) | SMU 2015,Business Management (4-year programme) (cum laude & above)
Economics (4-year programme),School of Economics,0.858,3946,3500,3200,4100,SMU,2015,No,SMU GES 2015,Economics (4-year programme) | SMU 2015,Economics (4-year programme)
Economics (4-year programme) (cum laude & above),School of Economics,0.927,4380,3850,3500,4700,SMU,2015,No,SMU GES 2015,Economics (4-year programme) (cum laude & above) | SMU 2015,Economics (4-year programme) (cum laude & above)
Information Systems Management (4-year programme),School of Information Systems,0.859,3660,3500,3200,4110,SMU,2015,No,SMU GES 2015,Information Systems Management (4-year programme) | SMU 2015,Information Systems Management (4-year programme)
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.921,3834,3800,3500,4166,SMU,2015,No,SMU GES 2015,Information Systems Management (4-year programme) (cum laude & above) | SMU 2015,Information Systems Management (4-year programme) (cum laude & above)
Social Sciences (4-year programme),School of Social Sciences,0.83,3550,3200,2980,3600,SMU,2015,No,SMU GES 2015,Social Sciences (4-year programme) | SMU 2015,Social Sciences (4-year programme)
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.897,4012,3560,3300,4583,SMU,2015,No,SMU GES 2015,Social Sciences (4-year programme) (cum laude & above) | SMU 2015,Social Sciences (4-year programme) (cum laude & above)
Law (4-year programme),School of Law,0.99,4997,4731,4350,5800,SMU,2015,No,SMU GES 2015,Law (4-year programme) | SMU 2015,Law (4-year programme)
Law (4-year programme) (cum laude & above),School of Law,1,5313,5000,4500,5995,SMU,2015,No,SMU GES 2015,Law (4-year programme) (cum laude & above) | SMU 2015,Law (4-year programme) (cum laude & above)
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0.867,2490,2700,2575,2800,SIT,2014,No,SIT GES 2014,Bachelor of Arts in Game Design | SIT 2014,Game Design
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.844,2603,2600,2300,2885,SIT,2014,No,SIT GES 2014,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2014,Fine Arts in Digital Arts & Animation
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,1,2955,2975,2800,3075,SIT,2014,No,SIT GES 2014,Bachelor of Science in Computer Science & Game Design | SIT 2014,Computer Science & Game Design
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,1,2910,3000,2700,3300,SIT,2014,No,SIT GES 2014,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2014,Computer Science in Real-Time Interactive Simulation
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.783,2595,2500,2400,2800,SIT,2014,No,SIT GES 2014,Bachelor of Arts with Honours in Communication Design | SIT 2014,in Communication Design with Honours
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.909,2583,2500,2373,2800,SIT,2014,No,SIT GES 2014,Bachelor of Arts with Honours in Interior Design | SIT 2014,in Interior Design with Honours
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.845,3325,3300,3000,3650,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2014,in Chemical Engineering with Honours
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.889,3334,3260,3003,3594,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Marine Engineering | SIT 2014,in Marine Engineering with Honours
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.857,3273,3100,3000,3338,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2014,in Mechanical Design & Manufacturing Engineering with Honours
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,0.941,3467,3500,3233,3675,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Naval Architecture | SIT 2014,in Naval Architecture with Honours
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.913,3467,3300,3075,3625,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2014,in Offshore Engineering with Honours
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.614,2854,2800,2500,3170,SIT,2014,No,SIT GES 2014,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2014,in Food & Human Nutrition with Honours
Bachelor of Science in Chemical Engineering,Technische Universität München,0.867,3285,3200,2950,3755,SIT,2014,No,SIT GES 2014,Bachelor of Science in Chemical Engineering | SIT 2014,Chemical Engineering
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.821,3141,3000,2800,3480,SIT,2014,No,SIT GES 2014,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2014,Electrical Engineering & Information Technology
Bachelor of Professional Studies in Culinary Arts Management,The Culinary Institute of America,0.893,2503,2500,2200,2600,SIT,2014,No,SIT GES 2014,Bachelor of Professional Studies in Culinary Arts Management | SIT 2014,Professional Studies in Culinary Arts Management
Bachelor in Science (Occupational Therapy),Trinity College Dublin,1,3151,3100,3000,3338,SIT,2014,No,SIT GES 2014,Bachelor in Science (Occupational Therapy) | SIT 2014,Bachelor in Science (Occupational Therapy)
Bachelor in Science (Physiotherapy),Trinity College Dublin,1,3229,3200,3000,3500,SIT,2014,No,SIT GES 2014,Bachelor in Science (Physiotherapy) | SIT 2014,Bachelor in Science (Physiotherapy)
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.88,3415,3000,2849,4194,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2014,in Aeronautical Engineering with Honours
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.75,3333,3150,2900,3500,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2014,in Aerospace Systems with Honours
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.923,3424,3250,2950,3556,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2014,in Mechanical Design Engineering with Honours
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.873,3209,3100,2964,3443,SIT,2014,No,SIT GES 2014,Bachelor of Engineering with Honours in Mechatronics | SIT 2014,in Mechatronics with Honours
Bachelor of Science with Honours in Nursing Practice,University of Manchester,0.944,3464,3511,3115,3860,SIT,2014,No,SIT GES 2014,Bachelor of Science with Honours in Nursing Practice | SIT 2014,in Nursing Practice with Honours
Bachelor of Science (Major in Hospitality Management),"University of Nevada, Las Vegas",0.78,2634,2500,2300,2900,SIT,2014,No,SIT GES 2014,Bachelor of Science (Major in Hospitality Management) | SIT 2014,Major in Hospitality Management
Bachelor of Science in Early Childhood Education,Wheelock College,0.971,2553,2600,2475,2613,SIT,2014,No,SIT GES 2014,Bachelor of Science in Early Childhood Education | SIT 2014,Early Childhood Education
Accountancy,Nanyang Business School,0.951,3063,2900,2900,3100,NTU,2016,No,NTU GES 2016,Accountancy | NTU 2016,Accountancy
Accountancy & Business,Nanyang Business School,0.966,3893,3500,3100,4250,NTU,2016,No,NTU GES 2016,Accountancy & Business | NTU 2016,Accountancy & Business
Business,Nanyang Business School,0.771,3444,3300,3000,3800,NTU,2016,No,NTU GES 2016,Business | NTU 2016,Business
