Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Engineering with Honours in Marine Engineering,SIT-Newcastle University,0.905,3819,3750,3400,4250,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Marine Engineering | SIT 2021,in Marine Engineering with Honours
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,SIT-Newcastle University,0.902,3787,3650,3600,4000,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2021,in Mechanical Design & Manufacturing Engineering with Honours
Bachelor of Engineering with Honours in Naval Architecture,SIT-Newcastle University,0.957,3592,3400,3250,3850,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Naval Architecture | SIT 2021,in Naval Architecture with Honours
Bachelor of Engineering with Honours in Offshore Engineering,SIT-Newcastle University,0.706,3575,3550,3350,3850,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2021,in Offshore Engineering with Honours
Bachelor in Science (Physiotherapy),SIT-Trinity College Dublin,0.968,3591,3525,3400,3800,SIT,2021,No,SIT GES 2021,Bachelor in Science (Physiotherapy) | SIT 2021,Bachelor in Science (Physiotherapy)
Bachelor of Engineering with Honours in Civil Engineering,SIT-University of Glasgow,0.928,3719,3675,3500,3933,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Civil Engineering | SIT 2021,in Civil Engineering with Honours
Bachelor of Science with Honours in Nursing,SIT-University of Glasgow,0.864,3697,3700,3350,3990,SIT,2021,No,SIT GES 2021,Bachelor of Science with Honours in Nursing | SIT 2021,in Nursing with Honours
Bachelor of Science in Chemical Engineering,Technische Universität München,0.87,3645,3557,3400,3865,SIT,2021,No,SIT GES 2021,Bachelor of Science in Chemical Engineering | SIT 2021,Chemical Engineering
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.741,3806,3700,3250,4265,SIT,2021,No,SIT GES 2021,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2021,Electrical Engineering & Information Technology
Bachelor of Business Administration in Food Business Management,The Culinary Institute of America,0.677,2817,2700,2500,3100,SIT,2021,No,SIT GES 2021,Bachelor of Business Administration in Food Business Management | SIT 2021,Food Business Management
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.593,2989,3000,2700,3200,SIT,2021,No,SIT GES 2021,Bachelor of Arts with Honours in Communication Design | SIT 2021,in Communication Design with Honours
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.657,2807,3000,2500,3100,SIT,2021,No,SIT GES 2021,Bachelor of Arts with Honours in Interior Design | SIT 2021,in Interior Design with Honours
Bachelor of Arts with Honours in Criminology & Security,University of Liverpool,0.818,4001,3850,3400,4500,SIT,2021,No,SIT GES 2021,Bachelor of Arts with Honours in Criminology & Security | SIT 2021,in Criminology & Security with Honours
Bachelor of Arts,Faculty of Arts & Social Sciences,0.769,3928,3700,3500,4000,NUS,2022,No,NUS GES 2022,Bachelor of Arts | NUS 2022,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.744,4034,4000,3500,4390,NUS,2022,No,NUS GES 2022,Bachelor of Arts (Hons) | NUS 2022,Arts
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.811,4056,3795,3500,4350,NUS,2022,No,NUS GES 2022,Bachelor of Social Sciences | NUS 2022,Social Sciences
Bachelor of Dental Surgery,Faculty of Dentistry,1,4331,4200,4200,4600,NUS,2022,No,NUS GES 2022,Bachelor of Dental Surgery | NUS 2022,Dental Surgery
Bachelor of Laws,Faculty of Law,0.946,6182,6400,5500,6800,NUS,2022,No,NUS GES 2022,Bachelor of Laws | NUS 2022,Laws
Bachelor of Science,Faculty of Science,0.63,3823,3600,3500,4000,NUS,2022,No,NUS GES 2022,Bachelor of Science | NUS 2022,Science
Bachelor of Science (Hons),Faculty of Science,0.801,4174,3850,3500,4500,NUS,2022,No,NUS GES 2022,Bachelor of Science (Hons) | NUS 2022,Science
Bachelor of Science (Computational Biology),Faculty of Science,-1,-1,-1,-1,-1,NUS,2022,Suppressed,NUS GES 2022,Bachelor of Science (Computational Biology) | NUS 2022,Computational Biology
Bachelor of Science (Pharmacy),Faculty of Science,0.951,4053,4000,3750,4250,NUS,2022,No,NUS GES 2022,Bachelor of Science (Pharmacy) | NUS 2022,Pharmacy
Bachelor of Science (Pharmaceutical Science) (Hons),Faculty of Science,0.765,3808,3700,3400,4350,NUS,2022,No,NUS GES 2022,Bachelor of Science (Pharmaceutical Science) (Hons) | NUS 2022,Pharmaceutical Science (Hons)
Bachelor of Science (Data Science & Analytics),Faculty of Science,0.968,5616,5500,4628,6100,NUS,2022,No,NUS GES 2022,Bachelor of Science (Data Science & Analytics) | NUS 2022,Data Science & Analytics
Bachelor of Business Administration,NUS Business School,0.788,6026,5100,4000,7000,NUS,2022,No,NUS GES 2022,Bachelor of Business Administration | NUS 2022,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.957,5519,4696,4000,5938,NUS,2022,No,NUS GES 2022,Bachelor of Business Administration (Hons) | NUS 2022,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.933,5560,3800,3400,5500,NUS,2022,No,NUS GES 2022,Bachelor of Business Administration (Accountancy) | NUS 2022,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.979,4668,4000,3600,5000,NUS,2022,No,NUS GES 2022,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2022,Administration (Accountancy) (Hons)
Bachelor of Science (Real Estate),NUS Business School,0.951,4062,3850,3600,4400,NUS,2022,No,NUS GES 2022,Bachelor of Science (Real Estate) | NUS 2022,Real Estate
Bachelor of Computing (Computer Science),School of Computing,0.961,7121,6600,5341,7583,NUS,2022,No,NUS GES 2022,Bachelor of Computing (Computer Science) | NUS 2022,Computer Science
Bachelor of Computing (Information Security),School of Computing,0.911,5660,5500,4800,6475,NUS,2022,No,NUS GES 2022,Bachelor of Computing (Information Security) | NUS 2022,Information Security
Bachelor of Computing (Information Systems),School of Computing,0.93,5672,5500,4800,6250,NUS,2022,No,NUS GES 2022,Bachelor of Computing (Information Systems) | NUS 2022,Information Systems
Bachelor of Science (Business Analytics),School of Computing,0.952,5966,5500,5000,6600,NUS,2022,No,NUS GES 2022,Bachelor of Science (Business Analytics) | NUS 2022,Business Analytics
Bachelor of Engineering (Biomedical Engineering),College of Design & Engineering,0.916,4268,4000,3500,5000,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Biomedical Engineering) | NUS 2022,Biomedical Engineering
Bachelor of Engineering (Chemical Engineering),College of Design & Engineering,0.955,4690,4675,4018,5100,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Chemical Engineering) | NUS 2022,Chemical Engineering
Bachelor of Engineering (Civil Engineering),College of Design & Engineering,0.889,4139,4000,3700,4400,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Civil Engineering) | NUS 2022,Civil Engineering
Bachelor of Engineering (Electrical Engineering),College of Design & Engineering,0.907,4913,4800,4380,5500,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Electrical Engineering) | NUS 2022,Electrical Engineering
Bachelor of Engineering (Engineering Science),College of Design & Engineering,1,4659,4450,4080,5000,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Engineering Science) | NUS 2022,Engineering Science
Bachelor of Engineering (Environmental Engineering),College of Design & Engineering,0.839,4496,4200,3850,5000,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Environmental Engineering) | NUS 2022,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),College of Design & Engineering,0.929,5281,5000,4290,5650,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2022,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),College of Design & Engineering,0.871,4539,4500,3850,5000,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Materials Science & Engineering) | NUS 2022,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),College of Design & Engineering,0.919,4780,4525,4000,5200,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Mechanical Engineering) | NUS 2022,Mechanical Engineering
Bachelor of Arts (Architecture),College of Design & Engineering,0.92,4481,4400,4000,4800,NUS,2022,No,NUS GES 2022,Bachelor of Arts (Architecture) | NUS 2022,Architecture
Bachelor of Arts (Industrial Design),College of Design & Engineering,0.433,4270,4500,3500,4500,NUS,2022,No,NUS GES 2022,Bachelor of Arts (Industrial Design) | NUS 2022,Industrial Design
Bachelor of Science (Project & Facilities Management),College of Design & Engineering,0.92,3670,3555,3375,3855,NUS,2022,No,NUS GES 2022,Bachelor of Science (Project & Facilities Management) | NUS 2022,Project & Facilities Management
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,-1,-1,-1,-1,-1,NUS,2022,Suppressed,NUS GES 2022,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2022,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.913,3656,3600,3500,3825,NUS,2022,No,NUS GES 2022,Bachelor of Science (Nursing) | NUS 2022,Nursing
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.99,3834,3850,3650,4000,NUS,2022,No,NUS GES 2022,Bachelor of Science (Nursing) (Hons) | NUS 2022,Nursing (Hons)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.286,3661,3590,3350,3973,NUS,2022,No,NUS GES 2022,Bachelor of Music | NUS 2022,Music
Bachelor of Arts with Honours,Yale-NUS College,0.805,5418,4600,3800,6000,NUS,2022,No,NUS GES 2022,Bachelor of Arts with Honours | NUS 2022,Arts
Bachelor of Science with Honours,Yale-NUS College,0.889,6879,6038,4500,9000,NUS,2022,No,NUS GES 2022,Bachelor of Science with Honours | NUS 2022,Science
Bachelor of Engineering (Computer Engineering),Multidisciplinary Programme,0.927,6367,6000,5300,6800,NUS,2022,No,NUS GES 2022,Bachelor of Engineering (Computer Engineering) | NUS 2022,Computer Engineering
